ID,BSMBS_1u,BSMBS_2u,BSMBS_3u,BSMBS_4u,BSMBS_5u,BSMBS_6u,BSMBS_7u,BSMBS_8u,BSMBS_9u,BSMBS_10u,BSMBS_11d,BSMBS_12d,BSMBS_13d,BSMBS_14d,BSMBS_15d,BSMBS_16d,BSMBS_17d,BSMBS_18d,BSMBS_19d,BSMBS_20d,SMBS_1,SMBS_2,SMBS_3,SMBS_4,SMBS_5,SMBS_6,SMBS_7,SMBS_8,SEIS_1,SEIS_2,SEIS_3,SEIS_4,SEIS_5,AC_1,Gender,Age,Nacionality,Marital_Status,Education,Occupation,Household_Income,Household_members_1,SSS,PoliticalOrientation
112,1,5,2,1,5,5,2,1,5,2,6,2,6,6,3,4,2,5,4,6,6,1,6,3,2,2,5,5,1,7,7,1,7,5,1,41,1,3,6,5,3500,3,5,2
113,2,3,2,1,2,3,6,2,3,2,5,3,4,5,5,4,1,3,4,6,3,1,2,4,2,5,5,6,1,7,7,1,7,5,2,43,1,3,6,5,3000,2,7,2
114,3,5,4,4,4,3,6,4,5,5,5,1,3,3,3,3,2,3,2,3,3,3,3,5,3,5,3,3,3,5,5,2,5,5,2,59,1,3,7,NA,120000,4,9,4
115,2,2,2,3,3,2,6,3,3,2,7,5,6,2,6,6,3,6,5,6,5,1,1,5,5,3,1,6,1,7,7,1,7,5,1,61,1,3,5,1,2000,2,6,2
116,3,4,2,4,3,2,4,3,4,3,3,3,5,3,5,4,2,3,4,4,2,4,5,3,5,4,2,2,1,1,6,1,7,5,1,50,1,3,7,5,3000,4,6,2
117,3,5,4,3,4,3,3,3,3,3,4,4,4,3,4,4,3,4,3,3,2,3,2,4,2,2,2,2,1,7,7,1,7,5,1,60,1,3,7,5,90000,3,7,2
118,3,4,4,4,3,2,6,2,3,4,3,2,2,3,2,2,2,2,2,3,3,1,3,3,1,2,3,3,1,7,7,1,7,5,2,26,1,2,7,1,1500,3,6,2
119,2,3,4,3,3,3,6,3,2,4,4,4,4,5,6,4,2,3,4,4,6,1,1,4,4,4,6,7,1,7,7,1,7,5,2,53,1,3,7,5,56000,2,6,2
120,2,3,3,3,4,2,5,1,2,6,6,5,5,5,5,5,2,4,6,4,5,2,4,3,2,4,4,4,1,7,7,1,7,5,1,36,1,2,6,5,1900,2,6,2
121,4,6,4,3,4,3,7,3,5,3,4,5,4,5,5,5,1,5,4,5,2,5,3,6,5,5,3,3,1,6,6,1,7,5,1,29,1,1,7,5,1900,1,7,3
122,4,3,3,5,5,4,5,5,4,3,4,4,4,6,3,3,3,3,4,5,6,2,6,2,2,2,6,6,1,7,7,1,7,5,2,52,1,3,7,5,56000,2,7,2
123,6,7,5,5,5,5,7,2,6,4,2,2,2,2,2,3,2,2,2,4,2,5,2,3,2,6,2,3,2,6,7,1,6,5,1,48,1,2,7,5,200000,2,8,3
124,5,6,5,6,5,5,5,4,5,5,2,2,2,2,2,2,2,2,1,2,4,4,2,2,2,4,2,2,1,2,7,1,7,5,1,72,1,4,3,6,2000,1,6,2
125,1,5,7,4,1,5,7,1,5,1,4,1,1,7,1,1,2,7,3,7,3,5,5,3,3,7,2,3,1,7,7,1,7,5,1,18,1,1,6,2,2500,4,6,4
126,4,5,5,5,4,5,6,5,5,5,3,3,3,2,3,2,3,2,3,3,2,5,2,5,4,5,2,3,1,7,7,1,7,5,2,52,1,3,6,4,2000,3,5,2
127,5,6,3,5,5,5,6,4,6,6,2,2,5,3,2,2,7,1,2,3,4,1,4,4,2,3,5,5,1,7,7,1,7,5,2,32,1,2,7,5,2500,2,6,2
128,4,4,4,5,6,4,6,4,4,4,4,3,3,3,3,3,2,3,3,3,3,2,4,4,2,4,6,3,2,6,6,2,6,5,2,37,1,2,7,5,3000,2,6,3
129,3,1,2,2,2,2,2,2,2,2,3,6,4,5,7,6,3,4,6,6,4,1,1,4,2,2,4,4,1,7,7,1,7,5,2,39,1,1,7,5,1600,2,5,1
130,5,5,5,5,4,3,5,5,4,5,3,3,3,3,3,5,3,3,3,3,2,1,3,5,5,1,4,3,1,7,6,1,7,5,1,25,1,2,6,5,1748,1,4,3
131,3,2,4,2,3,3,6,2,3,3,3,3,4,2,2,3,3,4,3,3,6,2,5,3,2,3,6,6,2,7,7,1,7,5,1,27,1,1,7,1,2500,3,4,2
132,3,5,3,3,5,3,6,3,3,5,5,3,2,3,3,2,2,2,2,2,5,1,1,3,1,5,3,5,1,5,7,1,7,5,1,45,1,3,6,5,2800,3,6,2
133,3,5,3,4,4,3,5,4,4,4,3,3,5,4,5,5,3,4,4,4,3,4,4,3,4,3,3,5,2,7,7,1,7,3,1,45,1,2,4,5,1900,2,6,2
134,1,1,1,1,1,1,6,1,1,2,7,7,1,1,3,3,1,1,1,1,1,1,1,1,1,1,5,7,1,1,7,1,7,5,2,69,1,1,5,6,1200,1,5,2
135,2,2,2,3,1,2,4,2,2,4,5,7,5,6,7,6,4,5,6,6,6,1,4,1,1,1,7,6,1,7,7,1,7,5,1,40,1,2,6,5,2000,2,5,3
