model,term,op,estimate,std.error,statistic,p.value,std.lv,std.all,std.nox,parameter,conf.low,conf.high,method,alternative
sem2,network ~~ network,~~,1.5752343876533474,0.06894613612024349,22.847319317591722,0,1.5752343876533474,0.9929961070548217,0.9929961070548217,NA,NA,NA,NA,NA
sem2,addiction ~~ addiction,~~,0.7657423550961109,0.033515632379091116,22.847319317591715,0,0.7657423550961109,0.8923104185222207,0.8923104185222207,NA,NA,NA,NA,NA
sem2,low_rep_est ~~ low_rep_est,~~,1.1540127341442639,0.05050976519839294,22.847319317591698,0,1.1540127341442639,0.9981160883758714,0.9981160883758714,NA,NA,NA,NA,NA
sem2,rm ~~ rm,~~,0.2124227362891032,0,NA,NA,0.2124227362891032,1,0.2124227362891032,NA,NA,NA,NA,NA
sem3,network ~ rm,~,0.20615652445413715,0.10510486371099631,1.9614365803375147,0.04982811630148398,0.20615652445413715,0.07300483476782495,0.16123282657147528,NA,NA,NA,NA,NA
sem3,addiction ~ network,~,0.19107189321608664,0.0263632818252002,7.2476520367598685,4.241051954068098e-13,0.19107189321608664,0.25487974438220584,0.25487974438220584,NA,NA,NA,NA,NA
sem3,low_rep_est ~ rm,~,-0.10003114373187064,0.0884504754148536,-1.1309282766734827,0.2580852806465932,-0.10003114373187064,-0.04216832717692607,-0.09312970304157173,NA,NA,NA,NA,NA
sem3,addiction ~ low_rep_est,~,0.19236710549812183,0.0313829487023063,6.129669564287469,8.806178009024279e-10,0.19236710549812183,0.21556225914920316,0.21556225914920316,NA,NA,NA,NA,NA
sem3,addiction ~ age,~,-0.0025322045431402903,0.0028321288010506483,-0.8940993581227331,0.3712687327139865,-0.0025322045431402903,-0.03144292051243336,-0.0026417619673874976,NA,NA,NA,NA,NA
sem3,addiction ~1 ,~1,1.525679835206353,0.19774827103235634,7.715262577222307,1.199040866595169e-14,1.525679835206353,1.5916893340929725,1.5916893340929725,NA,NA,NA,NA,NA
sem3,network ~~ network,~~,1.6261716310967824,0.08582605609423469,18.947295321496423,0,1.6261716310967824,0.9946702941005225,0.9946702941005225,NA,NA,NA,NA,NA
sem3,addiction ~~ addiction,~~,0.8158297741507118,0.043057848643184474,18.94729532149646,0,0.8158297741507118,0.8879517158287168,0.8879517158287168,NA,NA,NA,NA,NA
sem3,low_rep_est ~~ low_rep_est,~~,1.1516515507796956,0.06078184412279296,18.947295321496025,0,1.1516515507796956,0.9982218321830997,0.9982218321830997,NA,NA,NA,NA,NA
sem3,rm ~~ rm,~~,0.20502003786438655,0,NA,NA,0.20502003786438655,1,0.20502003786438655,NA,NA,NA,NA,NA
sem3,rm ~~ age,~~,0.2959254402640162,0,NA,NA,0.2959254402640162,0.05491044374802092,0.2959254402640162,NA,NA,NA,NA,NA
sem3,age ~~ age,~~,141.66363738642622,0,NA,NA,141.66363738642622,1,141.66363738642622,NA,NA,NA,NA,NA
sem3,network ~1 ,~1,2.776526969289127,0.38388111548033443,7.232778215242431,4.731770530952417e-13,2.776526969289127,2.171492231428302,2.171492231428302,NA,NA,NA,NA,NA
sem3,low_rep_est ~1 ,~1,3.5196346905955656,0.32305324385732975,10.894905894057342,0,3.5196346905955656,3.2768048161939123,3.2768048161939123,NA,NA,NA,NA,NA
sem3,rm ~1 ,~1,3.624187558031569,0,NA,NA,3.624187558031569,8.004100082754174,3.624187558031569,NA,NA,NA,NA,NA
sem3,age ~1 ,~1,49.3133704735376,0,NA,NA,49.3133704735376,4.143196130561962,49.3133704735376,NA,NA,NA,NA,NA
sem4,extroversion ~ rm,~,0.24838875564019888,0.0819042596408827,3.0326720091150796,0.0024239890631356786,0.24838875564019888,0.09344813011881249,0.20275431996122956,NA,NA,NA,NA,NA
sem4,low_rep_est ~ rm,~,-0.10126154190855018,0.07213641444437356,-1.4037506949646885,0.16039310068519042,-0.10126154190855018,-0.04340405078018191,-0.09417372812392762,NA,NA,NA,NA,NA
sem4,addiction ~ extroversion,~,0.10070422875588234,0.0227510056047013,4.426363849827925,9.583482283970213e-6,0.10070422875588234,0.13312285458323428,0.13312285458323428,NA,NA,NA,NA,NA
sem4,addiction ~ low_rep_est,~,0.16845456549881074,0.025920754594172618,6.498829533947361,8.094724890383986e-11,0.16845456549881074,0.19545224214736345,0.19545224214736345,NA,NA,NA,NA,NA
sem4,extroversion ~~ extroversion,~~,1.4876969594077787,0.06511472697203029,22.847319317591726,0,1.4876969594077787,0.9912674469772975,0.9912674469772975,NA,NA,NA,NA,NA
sem4,low_rep_est ~~ low_rep_est,~~,1.1540127341442639,0.05050976519839293,22.8473193175917,0,1.1540127341442639,0.9981160883758714,0.9981160883758714,NA,NA,NA,NA,NA
sem4,addiction ~~ addiction,~~,0.8109950059266878,0.03549628709842761,22.847319317591747,0,0.8109950059266878,0.944287795481489,0.944287795481489,NA,NA,NA,NA,NA
