model,term,estimate,std.error,statistic,p.value,op,std.lv,std.all,std.nox,parameter,conf.low,conf.high,method,alternative
cor.test1,NA,0.2657117268152248,NA,4.179977477013468,4.144537582130084e-5,NA,NA,NA,NA,230,0.14176471199741428,0.3814557200468592,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.07740255628319208,NA,1.177400179178544,0.24025274167147379,NA,NA,NA,NA,230,-0.051913662647537946,0.2041658299983587,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.051637743004582876,NA,-0.7841713240565182,0.4337464420824322,NA,NA,NA,NA,230,-0.17924428569406609,0.07767755416352153,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.020487396750745412,NA,0.31077198300730846,0.7562554235207727,NA,NA,NA,NA,230,-0.10859783938192344,0.1488931785813674,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.07786373872841698,NA,1.1844580670506357,0.23745432297012392,NA,NA,NA,NA,230,-0.05145092316073483,0.2046104263134966,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.05674311466691315,NA,-0.8619406905777077,0.3896179195513896,NA,NA,NA,NA,230,-0.18419560615189037,0.07258604960482724,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.11435290220152612,NA,-1.7456990800733445,0.08219856753357722,NA,NA,NA,NA,230,-0.2396222983058431,0.014661716557302815,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.02615520522945705,NA,0.3967990742409825,0.6918835637687133,NA,NA,NA,NA,230,-0.10299041796775138,0.15443362968794172,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.19004941731779718,NA,2.9357475107827202,0.003665034498228487,NA,NA,NA,NA,230,0.06278766728962737,0.3112297734288174,Pearson's product-moment correlation,two.sided
cor.test1,NA,0.22508684622399616,NA,3.5035157909984704,5.516494189727033e-4,NA,NA,NA,NA,230,0.09916299581952875,0.34391511552282783,Pearson's product-moment correlation,two.sided
cor.test1,NA,-0.23369736797623483,NA,-3.6451320130519944,3.304403037937925e-4,NA,NA,NA,NA,230,-0.35190376946055335,-0.1081541238459575,Pearson's product-moment correlation,two.sided
