model,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative
cor.test1,0.4929790199484694,7.211840726124353,2.0009710961173614e-11,162,0.3674928406426472,0.6008363362098185,Pearson's product-moment correlation,two.sided
cor.test1,-0.22082188441137143,-2.8817419782769735,0.004491135973795725,162,-0.36182720414291125,-0.06993878951534073,Pearson's product-moment correlation,two.sided
cor.test1,-0.35730126709873805,-4.869117046839186,2.6444017217314903e-6,162,-0.48404652070592813,-0.21587173308859448,Pearson's product-moment correlation,two.sided
cor.test1,-0.24282349498840763,-3.1859937596507706,0.0017308917014513215,162,-0.38186323172861864,-0.09303571412732489,Pearson's product-moment correlation,two.sided
cor.test1,-0.24848285284717855,-3.2650752415551647,0.0013353857270757441,162,-0.38699594748927435,-0.09900299537299997,Pearson's product-moment correlation,two.sided
cor.test1,-0.38566766802337005,-5.320341518205243,3.398815815495606e-7,162,-0.5088431326464181,-0.24701737779523833,Pearson's product-moment correlation,two.sided
cor.test1,-0.39724339797422037,-5.509436404080857,1.3894633316527452e-7,162,-0.5189037218183044,-0.25981010052780307,Pearson's product-moment correlation,two.sided
cor.test1,0.012100185711849627,0.15402149657089487,0.8777844912709685,162,-0.1414119303178546,0.1650440244946992,Pearson's product-moment correlation,two.sided
cor.test1,-0.3484083536719254,-4.730941692714999,4.83670326489964e-6,162,-0.47623060375219844,-0.20616642045097017,Pearson's product-moment correlation,two.sided
cor.test1,-0.26086889011133246,-3.4394111277509256,7.413525214344855e-4,162,-0.3981995076141641,-0.11210057267309025,Pearson's product-moment correlation,two.sided
cor.test1,-0.35218678831065586,-4.789468516684935,3.750650425488588e-6,162,-0.47955391204706155,-0.21028661205606608,Pearson's product-moment correlation,two.sided
cor.test1,0.28670093235919375,3.8090088047097486,1.9771164650809678e-4,162,0.13958392691444824,0.42143430968888046,Pearson's product-moment correlation,two.sided
cor.test1,0.6040062798435302,9.646100441489873,1.1102444662259691e-17,162,0.49673623174863885,0.6931001214595554,Pearson's product-moment correlation,two.sided
cor.test1,0.5764021694748446,8.977858133831685,6.68185617669877e-16,162,0.464152530139292,0.6704305364674372,Pearson's product-moment correlation,two.sided
cor.test1,0.5197179207056837,7.742754977476701,9.951012630873608e-13,162,0.39818191288798804,0.6233222413088303,Pearson's product-moment correlation,two.sided
cor.test1,-0.24132071272159966,-3.1650530357895597,0.0018524993174859575,162,-0.3804988510617953,-0.09145297206633984,Pearson's product-moment correlation,two.sided
cor.test1,-0.3263256815328154,-4.393986069195723,2.0046483307702305e-5,162,-0.4567345604543661,-0.182186843043811,Pearson's product-moment correlation,two.sided
cor.test1,-0.23004298288113537,-3.0086600059596287,0.003043578884206612,162,-0.3702403937937556,-0.07959929272246698,Pearson's product-moment correlation,two.sided
cor.test1,-0.22031552058737452,-2.8747963731166872,0.004586131069359618,162,-0.36136453928787143,-0.06940911484725426,Pearson's product-moment correlation,two.sided
cor.test1,-0.35558672004364866,-4.842360817517644,2.975112532531408e-6,162,-0.4825411898177805,-0.2139983789844062,Pearson's product-moment correlation,two.sided
cor.test1,-0.4201268479426138,-5.892612372051276,2.1380341295614197e-8,162,-0.5386932958067894,-0.2852420986960097,Pearson's product-moment correlation,two.sided
cor.test1,0.027801879781498947,0.3539969954837889,0.7238014486405846,162,-0.12598478391357038,0.18028364549385065,Pearson's product-moment correlation,two.sided
cor.test1,-0.3384517683331406,-4.577961915749219,9.30708541198498e-6,162,-0.467455801552396,-0.19533337171186013,Pearson's product-moment correlation,two.sided
cor.test1,-0.26934561601733775,-3.559766219777828,4.8736964366139586e-4,162,-0.4058434299420586,-0.12109415334523112,Pearson's product-moment correlation,two.sided
cor.test1,-0.3828250471204803,-5.274363860312588,4.2118336716247675e-7,162,-0.5063674243535932,-0.24388327730071085,Pearson's product-moment correlation,two.sided
cor.test1,0.2616101175258699,3.449900685553687,7.150440730681062e-4,162,0.11288602402687618,0.3988686743002945,Pearson's product-moment correlation,two.sided
